member_id,home_market,segment,domestic_dining,domestic_retail,domestic_transport,domestic_lodging
M00000,Hong Kong,platinum,1173.7555061283695,1122.3627854756771,218.15763970652236,118.58234983355061
M00001,Singapore,core,511.6138139058829,226.28120571065477,108.33132261338353,514.1301982173244
M00002,Singapore,gold,422.3865526882081,232.91313650435643,599.660386479381,1021.4203514340323
M00003,Australia,platinum,924.5071035859122,200.94853028241155,317.20557418599793,233.11588819742718
M00004,Japan,core,594.5441137188037,654.2590193975607,217.50676645405323,529.8789156816899
M00005,Hong Kong,gold,1205.074535569805,79.8183038755562,182.4685547545359,96.63052322235636
M00006,Australia,core,413.44060155390866,228.2622244018525,143.80737727967272,192.93161623339452
M00007,Singapore,platinum,336.38395588524764,319.20988413742725,633.6725426528839,62.81147603263484
M00008,Hong Kong,gold,202.9829023218731,451.39619392819014,288.42784503737107,764.4858535281127
M00009,Singapore,core,2058.0072788666184,330.83865621534835,86.10994896050074,309.309871915683
M00010,Hong Kong,core,520.3277682780249,469.88586586497536,73.2789661207671,50.60816619999193
M00011,Singapore,platinum,5216.220715192925,1129.9765903130346,814.8577267561499,160.7875520431194
M00012,United States,core,564.2831978683871,598.7052328216852,109.54228591303803,231.41579057544453
M00013,Hong Kong,centurion,412.8912163273558,2110.482460145267,278.7811552626979,1152.5439806135369
M00014,Singapore,gold,2546.7887425604004,1073.327114793541,987.1645137056287,110.57730043760492
M00015,Singapore,core,370.965070405479,391.518007770783,202.62566882019328,194.2761207470574
M00016,Hong Kong,core,1148.919059276437,218.42368075143636,128.5608214734384,218.76768459683646
M00017,Japan,core,677.6088706077245,121.64538096217854,186.69446905912176,1567.5755483620153
M00018,Singapore,gold,678.3985975720731,1613.7213385043058,340.0729536439112,567.1432744477022
M00019,United States,core,886.9394140105952,125.18882065922708,47.426404463485575,133.71249592539345
M00020,Singapore,core,470.96120881367324,97.8515485837554,159.20699974501449,268.69724482283164
M00021,United States,core,1128.9199281482943,556.0155230675869,593.2111961497674,414.584613148805
M00022,Australia,core,569.6266333999498,208.15993572127658,171.79792659609143,56.12279677256661
M00023,United States,platinum,2382.9891579058576,475.62410186741664,190.62010435338513,1676.4263095030753
M00024,United States,core,826.3818905676305,191.32617959080707,73.8974822371637,129.30015517908095
M00025,Singapore,gold,565.5159873637067,414.0412184009463,92.73097417561237,83.94889322827655
M00026,Australia,core,582.9801673266876,411.91975589624394,349.3030854711732,170.73734717801403
M00027,Singapore,platinum,1187.671817023261,1520.9421032756138,309.50703751168595,205.7289508706645
M00028,Australia,platinum,743.7690049728697,221.36679528415243,179.65681527181582,756.7067249400001
M00029,Singapore,core,693.8712070183551,1126.2762891357017,207.2271469010649,50.685414932390586
M00030,Hong Kong,gold,2436.514808603088,331.76989434169724,138.32793734892428,223.03318544748043
M00031,Singapore,platinum,864.6925055012514,1074.3027059766823,596.8478217258789,664.8028458740015
M00032,Singapore,gold,1682.505082701449,1365.7722508921065,520.4789469675995,281.056284335963
M00033,Australia,core,245.2591260397392,418.1277868033135,266.98561843535185,66.84238485707218
M00034,Australia,platinum,627.3782259480364,1323.8525587985175,425.8156224354423,598.4298514292061
M00035,Japan,core,857.9700611319765,380.4596577812586,137.62058652331896,376.3387480910048
M00036,Australia,core,254.98641108120597,394.69441943532536,391.87509089062013,108.50996091361863
M00037,Singapore,centurion,919.3113623146402,554.308668513295,230.83447082428094,762.217455899744
M00038,Australia,gold,720.1776573373146,198.80610623857785,179.59355091945346,41.614015246511244
M00039,Hong Kong,gold,1227.8884136789645,1216.322164718995,139.74234478680458,697.9579910735886
M00040,Singapore,core,232.66792212347872,241.1962233972558,151.23293057808297,93.94101419562462
M00041,Singapore,platinum,744.8246507231617,512.6351445771901,477.7145467986542,185.36635791609643
M00042,Singapore,core,964.9664518044509,256.58129353278645,154.961371289072,62.324167473591984
M00043,Japan,core,735.580504961617,147.35414936098158,65.69436780978877,67.79742303931688
M00044,Singapore,core,490.5201590898916,795.0594864355023,89.31715423966716,383.6545954199494
M00045,Singapore,core,703.236824412114,338.8911219231862,162.8083883757481,223.97830362886071
M00046,Japan,platinum,313.93141826134365,145.54434270978942,186.48483839462583,210.84085626128237
M00047,Australia,gold,581.2216308536224,1019.2734034950925,247.91177792666141,157.0175114932167
M00048,Singapore,gold,625.4589600712991,555.4255782278152,391.80449142880724,854.5001234436336
M00049,Australia,core,503.1671426227431,386.54164207897117,226.64730087749155,126.11121282780852
M00050,Australia,gold,1105.770150768525,134.51640174656632,237.0863022391299,874.3631674803032
M00051,Hong Kong,core,568.9722507020543,265.01708143833025,179.99337582606856,190.41240823680934
M00052,Hong Kong,gold,729.8522622428459,169.82849588263502,340.1862152255016,73.82770626852506
M00053,United States,core,507.74547126034685,240.3985608447809,139.97889161820666,329.0227840367968
M00054,Hong Kong,core,214.39628575816678,1175.5651170576941,103.40891791071151,53.63453739919624
M00055,United States,core,553.6144110860736,836.5404254723854,196.84138678737114,122.77349692617209
M00056,Australia,gold,462.23734684861716,334.47221882321116,212.0515097137023,1699.3639172473872
M00057,Hong Kong,platinum,631.0043240527616,446.18779658332187,232.03390991819316,362.1271783302692
M00058,Singapore,platinum,361.5518826893245,284.9280814240499,375.1060215260748,431.96664608222585
M00059,Hong Kong,centurion,1365.1463467001386,3040.03004570753,720.5734574305826,403.2975781253593
M00060,Japan,platinum,1256.1548647238128,557.5424235152334,195.05032207014668,649.6499393327416
M00061,Singapore,core,600.385557895266,85.90728016120148,140.81637128883236,539.1655025127722
M00062,Singapore,gold,695.3437652225482,217.23869564602163,325.3364131614497,1459.1421638853008
M00063,United States,gold,358.96816572204017,263.95703678324503,796.6042947117294,152.4139156182606
M00064,Hong Kong,core,914.453406916267,390.76951023119415,43.23837706181539,567.0848538975688
M00065,Japan,gold,388.75181788489914,933.6290334552988,108.01592966640283,345.64881438631835
M00066,Singapore,core,532.8709733021989,507.45348305856334,223.02301562993205,123.8792678653157
M00067,Australia,core,305.7745472942156,184.099797407807,411.1896858323852,23.255389006929466
M00068,Australia,gold,239.27633535951597,163.4634701266169,237.12046015856836,779.8275930396395
M00069,Singapore,core,992.4402375112802,508.7742078713797,207.99763779023215,555.8294193627935
M00070,Singapore,core,209.3819198264744,328.969927884975,500.7164572631914,1202.8607193059072
M00071,Singapore,core,905.3909201491338,192.9110595276677,192.74050558343563,84.1316363524753
M00072,Hong Kong,core,961.0306807586638,491.5586009450403,655.8934930925062,111.54195540845112
M00073,Japan,centurion,627.5981607702308,6485.292629725769,187.40760272295947,1016.8337394128012
M00074,Singapore,core,335.31842415719683,356.39186218494604,113.10819401846129,47.22167492150441
M00075,Singapore,platinum,958.1505688825018,764.1901082222327,778.2095910950907,128.03610486184567
M00076,Japan,platinum,4888.169363942221,1482.701113850846,345.0328440935785,363.2712051936493
M00077,Singapore,core,251.60824510450345,246.54197903450577,125.48972904378289,357.6188291526688
M00078,Australia,gold,963.4964983762106,897.6961475022526,145.87846261153823,1633.8895093488336
M00079,United States,gold,322.29600678384753,816.4405581285054,176.73107885432756,220.9532061913752
M00080,Australia,core,724.8436337409087,75.29768026270858,287.89047911376434,33.431971686985335
M00081,Australia,platinum,1454.5762642387208,1120.2514712950417,381.6984676097078,377.5547535452955
M00082,Singapore,gold,2358.18317260774,306.1774666105966,350.18036255245283,1534.7547693140361
M00083,Hong Kong,core,323.774690392713,269.1019686979916,117.78336298242287,64.19783082307282
M00084,Singapore,core,463.7592562546924,1099.681666150566,81.36213537589425,252.49293766572958
M00085,Japan,gold,367.72528329387563,2013.6339115323176,159.4489094500873,195.52016044853616
M00086,Singapore,core,480.24283253161985,599.6333344454323,149.85623654993913,1137.9101573417747
M00087,Singapore,gold,429.2915108957499,746.4276072395884,226.44133114073293,189.22417516486843
M00088,Singapore,core,112.39998856018505,813.9274110111438,83.77177284977648,66.35594604254884
M00089,Japan,platinum,1895.559760286966,726.5509774706982,451.4195120225292,237.67204978034
M00090,Singapore,core,1429.0809205137527,272.28574288403075,120.45274035914804,429.2356921080085
M00091,Australia,core,750.5441181523862,699.718409528373,34.44200533371187,295.724942106192
M00092,Singapore,core,1338.332830370348,201.81132003832238,466.82172899224923,68.5718428860179
M00093,Singapore,gold,942.2659043265181,837.555783167034,296.0887059619105,186.54208329826182
M00094,Japan,gold,1617.1796774076008,1238.7340165056473,382.7036872639459,972.7417305845488
M00095,United States,core,354.68664563644614,352.45936350921625,75.77275510414341,223.14379585915785
M00096,United States,core,264.68899058417105,88.19782448470521,224.711102740828,185.19435886456586
M00097,Singapore,core,1280.593354723162,303.41383298494617,54.35224179721259,201.4462185289076
M00098,Singapore,core,717.7695839217077,399.28616342202764,199.36173389728816,146.77708625503473
M00099,Singapore,core,1740.112926113364,330.0264030545852,234.97187624278868,98.40942371401714
M00100,Singapore,gold,393.65421725016944,551.0584660334914,174.87926171981783,318.00607822760117
M00101,United States,core,311.4701578535396,309.15882089318,207.14720317463585,163.99617555065115
M00102,United States,core,195.039828654487,187.05376479793622,358.9143231386809,524.266715721064
M00103,Singapore,platinum,598.0370111507403,869.979064674441,212.49025495301223,196.86908741414928
M00104,Australia,platinum,726.9091648209024,253.24861420126422,732.3123624732642,314.51807471502394
M00105,Singapore,core,264.9609576740668,405.04047361702453,107.46030086912576,362.0068277517347
M00106,Hong Kong,core,140.1280172409454,263.1889734630928,194.2957392659989,342.19775567102056
M00107,Singapore,core,453.09899396882355,275.74384954063834,177.7746192343307,319.8687318725052
M00108,Singapore,core,162.86204464944976,414.32655130486614,40.82246769492569,95.37568186102429
M00109,Singapore,core,670.376500064245,224.1898181870894,108.10251648159796,337.0521357857648
M00110,Singapore,core,196.5690811474987,1207.9528519671699,162.07667144480823,152.1023303509601
M00111,Singapore,gold,2255.498132528544,919.2533031835419,76.8130936633546,418.43306452974986
M00112,Singapore,platinum,592.7355136309026,514.3502095643174,243.00095064008372,153.09411778529568
M00113,Singapore,core,407.74599928024406,538.4276778294197,111.2154149163259,143.6752932638073
M00114,Australia,gold,1582.9056460182144,309.4283059486974,132.0187532711072,577.5824035111394
M00115,Singapore,core,1728.3370482452242,295.0425738855235,303.70435693388396,442.30574538961446
M00116,Japan,core,234.6292706328468,642.779720231735,261.80246419990607,357.89148481185583
M00117,Australia,gold,609.6334615039973,656.7210337319225,152.4241751134968,343.57895019057776
M00118,Japan,core,755.8137471413016,112.27651961593608,96.02262315084882,367.99683615296
M00119,Hong Kong,core,401.0122672848499,141.22143947693763,459.53963923561037,332.5206317655722
M00120,Australia,core,188.0941301218331,195.4915315235558,165.8929769557964,1669.7835783106525
M00121,Singapore,gold,849.5521147959909,157.85729764201224,406.6577485330902,78.14134095916408
M00122,Japan,core,451.2026515802517,290.1767295202017,201.19661688504684,29.03462554441479
M00123,United States,platinum,1279.2032148935702,174.07192039251996,243.22771964051154,442.7219061087328
M00124,Singapore,core,275.47061386362213,181.32897869011268,58.95436684174851,338.122218201866
M00125,Singapore,gold,237.83475360818073,739.8697927687714,266.8205385202348,421.10478426593585
M00126,United States,centurion,2263.3879964849702,969.7955058490977,449.8444790484683,2470.9207418778647
M00127,Hong Kong,platinum,670.5474967350468,587.4378523875192,319.73895821460286,492.38842656373913
M00128,Hong Kong,core,502.0975444117379,228.08572263291956,383.3605032699035,25.569633801409292
M00129,Singapore,gold,348.0499062953518,1101.3854782206206,425.05719171804975,208.46404256296515
M00130,Japan,platinum,719.1646535635847,1343.9325697429008,165.16084465601037,301.97996052417284
M00131,Singapore,core,1281.2419204772757,646.5222344571357,488.04516007547556,141.11413167321177
M00132,United States,core,380.913675911855,184.5991490734019,289.1569893975908,147.03438256231146
M00133,Singapore,platinum,1076.5421211102027,567.0364924887142,280.5978085411679,128.0826503070887
M00134,Australia,gold,766.3254486997015,74.60418331083415,490.6532306281083,360.41015639302145
M00135,Singapore,platinum,262.9882845898787,975.1464099970605,622.2426336590336,375.471482901704
M00136,United States,core,474.1813726086618,355.73876704051634,180.20853710389684,136.11386858715298
M00137,United States,gold,1227.673034249017,3862.9429582182984,217.70868437805998,572.8490602020979
M00138,Japan,gold,1436.090344054573,869.4427939072677,220.8493635505438,184.78655768939646
M00139,Singapore,core,124.95002900525415,243.5914542554884,145.75233452244282,358.6418173285015
M00140,Singapore,core,941.5422339756084,283.9038969900291,76.37509167574466,317.0539692018366
