trip_id,member_id,category,dest_country,dest_district,true_spend,observed_spend,acceptance_leakage,cash_leakage,total_leakage,true_cause,extensive_margin
T000000,M01393,dining,Japan,Namba,531.3402819506754,531.3402819506754,0.0,0.0,0.0,rail_substitution,0
T000001,M03093,dining,Indonesia,Malioboro,300.9427321090438,0.0,59.309907165859535,241.63282494318426,300.9427321090438,no_acceptance,1
T000002,M01552,dining,Indonesia,SCBD,379.4751427060757,38.132863448236726,36.65424082213183,304.68803843570714,341.342279257839,cash,0
T000003,M01821,dining,Vietnam,Ba Dinh,636.5346252697992,104.03530836362738,326.0737798495235,206.4255370566484,532.4993169061719,rail_substitution,0
T000004,M04811,dining,Thailand,Sukhumvit,518.2012462416945,313.6075224009924,0.0,204.59372384070213,204.59372384070213,cash,0
T000005,M01090,dining,Singapore,Orchard,835.5685117369356,697.0244765573005,54.450976956405384,84.09305822322972,138.5440351796351,rail_substitution,0
T000006,M00028,dining,Hong Kong,Mong Kok,310.3921252525991,206.84853367373384,56.851163232250514,46.69242834661475,103.54359157886526,rail_substitution,0
T000007,M03242,dining,South Korea,Myeongdong,997.0462090139301,766.3519242124321,179.2035307234919,51.49075407800615,230.69428480149804,rail_substitution,0
T000008,M03876,dining,Vietnam,Han River,222.913410243715,23.659724896826944,126.9637916004417,72.28989374644637,199.25368534688806,rail_substitution,0
T000009,M00862,dining,Malaysia,KLCC,60.34108043989972,34.84469119194735,0.0,25.496389247952372,25.496389247952372,no_demand,0
T000010,M03363,dining,France,Le Marais,1088.7492217622453,964.0577193160902,68.46490239135551,56.22660005479952,124.69150244615503,rail_substitution,0
T000011,M00430,dining,Thailand,Old City,108.92851571372132,24.96639012951896,33.45365826022574,50.50846732397663,83.96212558420237,no_demand,0
T000012,M01965,dining,Singapore,Chinatown,299.68221553043446,243.61512300219087,25.90655674323611,30.160535785007482,56.06709252824359,rail_substitution,0
T000013,M03879,dining,Thailand,Khao San,132.26955110893,0.0,70.93820681979726,61.33134428913273,132.26955110893,no_acceptance,1
T000014,M00290,dining,Singapore,Orchard,942.7521523172807,788.3000101305818,59.571937246841344,94.88020493985755,154.4521421866989,rail_substitution,0
