trip_id,member_id,home_market,segment,dest_country,dest_city,dest_district,acceptance_density,cash_intensity,nights,trip_type,category,observed_spend,fitted_spend,domestic_intensity,cf_spend,cf_se,leakage_estimate,leakage_ci_low,leakage_ci_high,extensive_margin,cause_rule,pu_no_acceptance,pu_labeled_positive,cause
T000000,M01393,Singapore,core,Japan,Osaka,Namba,0.72,0.1166,5,leisure,dining,531.34,432.1195760088704,578.3353510281931,485.5667277938128,5.64768166318429,53.44715178494238,42.50311627677189,64.64353914048735,0,rail_substitution,2.228110525697846e-07,0,rail_substitution
T000000,M01393,Singapore,core,Japan,Osaka,Namba,0.72,0.1166,5,leisure,retail,192.39,183.8608177582193,252.5137144527269,206.60183107862807,2.7407049981573843,22.74101332040877,17.438561269123653,28.183137922558306,0,rail_substitution,2.6806980132547173e-07,0,rail_substitution
T000000,M01393,Singapore,core,Japan,Osaka,Namba,0.72,0.1166,5,leisure,transport,86.51,114.18518071251772,155.8178200042726,128.3082915919187,1.631009032400327,14.123110879400969,10.965885356471432,17.359984729074654,0,rail_substitution,4.1319905192962387e-07,0,rail_substitution
T000000,M01393,Singapore,core,Japan,Osaka,Namba,0.72,0.1166,5,leisure,lodging,42.83,29.89319005106046,35.48063816375104,33.59055984104273,0.5935210433435788,3.697369789982272,2.554002259170833,4.881027072153845,0,no_demand,1.7322653341524913e-07,0,no_demand
T000001,M03093,Japan,gold,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,4,leisure,dining,0.0,7.175190332271665,759.6784015482885,101.8358581656645,2.9850855700295265,94.66066783339284,88.97490044190988,100.68265904504852,1,no_acceptance,1.0,0,no_acceptance
T000001,M03093,Japan,gold,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,4,leisure,retail,0.0,7.729675660769531,840.3798475140668,109.7055433799902,3.260860772453885,101.97586771922066,95.76730164341072,108.55687262099175,1,no_acceptance,1.0,0,no_acceptance
T000001,M03093,Japan,gold,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,4,leisure,transport,6.51,2.435778809775015,262.9941887369811,34.57045930608045,1.035352913683235,32.134680496305435,30.163835340538633,34.22467524108576,1,no_demand,0.900334710927898,0,no_demand
T000001,M03093,Japan,gold,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,4,leisure,lodging,42.73,9.428007198652852,887.1644405465877,133.80957987255286,3.996742991731784,124.3815726739,116.77298398628488,132.4488790092432,0,rail_substitution,0.003646198645608951,0,rail_substitution
T000002,M01552,Hong Kong,core,Indonesia,Jakarta,SCBD,0.44,0.8005,11,leisure,dining,38.13,101.21750081045444,535.7915692289846,198.40893298423225,5.555280329847849,97.19143217377778,86.5966481818697,108.3838785273207,0,cash,0.00011575844348923432,0,cash
T000002,M01552,Hong Kong,core,Indonesia,Jakarta,SCBD,0.44,0.8005,11,leisure,retail,46.9,55.11186783674916,299.4225453693051,108.03158351769972,3.0865451975966796,52.91971568095055,47.0364598613127,59.14181893763713,0,cash,9.048063969470679e-05,0,cash
T000002,M01552,Hong Kong,core,Indonesia,Jakarta,SCBD,0.44,0.8005,11,leisure,transport,49.05,37.61580619961892,203.0727402819068,73.7353907342988,2.1087654581191577,36.11958453467988,32.10018269087427,40.370720754474384,0,cash,9.657925748448088e-05,0,cash
T000002,M01552,Hong Kong,core,Indonesia,Jakarta,SCBD,0.44,0.8005,11,leisure,lodging,152.67,87.80744429930574,412.9773904474728,172.12222384469536,4.977116402616594,84.31477954538961,74.83109140534951,94.35147525124344,0,cash,8.928700945873569e-05,0,cash
T000003,M01821,Hong Kong,core,Vietnam,Hanoi,Ba Dinh,0.29,0.316,13,business,dining,104.04,70.65409239525518,500.5901426100853,314.5760732654955,8.531687968303016,243.9219808702403,227.6368455704153,261.09619994023376,0,rail_substitution,0.0004918412877137428,0,rail_substitution
T000003,M01821,Hong Kong,core,Vietnam,Hanoi,Ba Dinh,0.29,0.316,13,business,retail,0.0,39.0127688100134,283.697388923777,173.69812849358428,4.835437171149098,134.68535968357088,125.46198693631844,144.42595833852408,1,no_acceptance,0.9473787052603011,1,no_acceptance
T000003,M01821,Hong Kong,core,Vietnam,Hanoi,Ba Dinh,0.29,0.316,13,business,transport,27.66,20.062429958156404,144.9383003838336,89.324768353046,2.5232887877003685,69.2623383948896,64.45119896227533,74.34736338816116,0,rail_substitution,0.0007207952111589756,0,rail_substitution
