member_id,category,segment,home_market,trip_type,expected_spend,leakage_estimate,arm,outcome_spend,true_te,pred_te_2x_points,pred_te_statement_credit,recommended_arm,predicted_uplift,expected_net_value,true_te_recommended
M00000,dining,platinum,Hong Kong,leisure,2561.96,200.0434635806671,statement_credit,2593.279787424396,0.05,0.2429440192303813,0.09385373308469595,2x_points,0.2429440192303813,61.87974314089612,0.27999999999999997
M00000,lodging,platinum,Hong Kong,leisure,273.05,27.31727934655423,2x_points,353.01129428262357,0.16,0.12094719944211657,0.09360215445025757,2x_points,0.12094719944211657,2.5977059369203914,0.16
M00000,retail,platinum,Hong Kong,leisure,2564.37,186.29821495834176,2x_points,2888.2980331279005,0.12,0.08246228075994787,0.18430711997556093,statement_credit,0.18430711997556093,44.7157979102075,0.16
M00000,transport,platinum,Hong Kong,leisure,508.72,43.739974410459965,no_offer,493.90308909512027,0.0,0.12044379102303181,0.08049303715602635,2x_points,0.12044379102303181,4.809059844308409,0.16
M00001,dining,core,Singapore,leisure,1430.5500000000002,320.4522409216834,2x_points,1840.0781447266818,0.21999999999999997,0.19843214545714008,0.10421262786305242,2x_points,0.19843214545714008,26.911302682045413,0.21999999999999997
M00001,lodging,core,Singapore,leisure,952.3599999999999,362.37185265333176,no_offer,972.9884235404338,0.0,0.08153692271459159,0.1290094780308029,2x_points,0.08153692271459159,4.556500445976213,0.1
M00001,retail,core,Singapore,leisure,564.66,138.11645276196802,2x_points,613.5400685323212,0.060000000000000005,0.09293027444406218,0.27310713676248566,statement_credit,0.27310713676248566,6.505521101316617,0.26
M00001,transport,core,Singapore,leisure,240.03,66.5611387221895,statement_credit,279.5992444046206,0.13,0.09933087568531361,0.15981655612925352,2x_points,0.09933087568531361,1.6609368108894988,0.1
M00003,dining,platinum,Australia,business,36.23,170.11150615560285,statement_credit,39.270944556923084,0.05,0.4,0.13550371336319394,2x_points,0.4,1.55789,0.22999999999999998
M00003,transport,platinum,Australia,business,24.14,57.234140487214546,statement_credit,23.997841555769696,0.03,0.33414616107006495,0.18397625617554664,2x_points,0.33414616107006495,0.847254599387764,0.11
M00005,dining,gold,Hong Kong,leisure,3281.5199999999995,564.2395381575429,2x_points,4303.343387410615,0.21999999999999997,0.22410993042819133,0.08056806178545052,2x_points,0.22410993042819133,71.84294626784619,0.21999999999999997
M00005,lodging,gold,Hong Kong,leisure,304.94,51.00758214942808,2x_points,345.9710268930619,0.1,0.10114051662743734,0.07656624573709843,2x_points,0.10114051662743734,2.1763146968444893,0.1
M00005,retail,gold,Hong Kong,leisure,246.41000000000003,7.277165563723685,statement_credit,274.98475787888333,0.19,0.08178278790382075,0.17668027213110044,2x_points,0.08178278790382075,1.1862016120856569,0.060000000000000005
M00005,transport,gold,Hong Kong,leisure,378.08000000000004,16.72693509079329,2x_points,406.6181010725429,0.1,0.09578596729390573,0.08193373310098279,2x_points,0.09578596729390573,2.4553710217375855,0.1
M00006,dining,core,Australia,leisure,1.0,141.03192484178203,statement_credit,1.2823365129818876,0.15,0.4,0.4,2x_points,0.4,0.043000000000000003,0.21999999999999997
M00006,lodging,core,Australia,leisure,40.51,74.09926683589744,no_offer,37.84747136608949,0.0,0.15748992126561265,0.12584190028278577,2x_points,0.15748992126561265,0.5630400052563961,0.1
M00006,retail,core,Australia,leisure,98.28,75.86529327661309,statement_credit,115.61779972863953,0.26,0.0842538910415021,0.17143729649817016,2x_points,0.0842538910415021,0.5022566893870593,0.060000000000000005
M00006,transport,core,Australia,leisure,1.0,48.10298309648583,2x_points,1.0015038015508133,0.1,0.4,0.4,2x_points,0.4,0.043000000000000003,0.1
M00007,dining,platinum,Singapore,business,850.75,747.1973069674083,no_offer,797.7946765174966,0.0,0.23035760440270395,0.0992937041036772,2x_points,0.23035760440270395,19.263457833472046,0.22999999999999998
M00007,lodging,platinum,Singapore,business,330.78,98.60205768504638,no_offer,320.7256035984866,0.0,0.09904844324933249,0.09088910286389877,2x_points,0.09904844324933249,2.277689286961703,0.11
M00007,retail,platinum,Singapore,business,1178.49,538.3084701358598,statement_credit,1466.1501577239742,0.16,0.10396128955571057,0.1986094772332799,statement_credit,0.1986094772332799,16.08711393895776,0.16
M00007,transport,platinum,Singapore,business,2373.62,1378.509926419547,2x_points,2530.3235340280057,0.11,0.11057005142372595,0.07727939411087305,2x_points,0.11057005142372595,19.626054255246125,0.11
M00008,dining,gold,Hong Kong,leisure,614.26,0.6975940806287326,statement_credit,684.8900944139084,0.08,0.20969891386213782,0.0744119085603222,2x_points,0.20969891386213782,12.385858579474814,0.21999999999999997
M00008,lodging,gold,Hong Kong,leisure,1282.94,2.9535854541638855,2x_points,1305.5983284584706,0.1,0.08000474442142734,0.05150529447301609,2x_points,0.08000474442142734,5.902254416963118,0.1
M00008,retail,gold,Hong Kong,leisure,1045.23,1.5099388923619017,no_offer,1016.6268922299546,0.0,0.07651853020994628,0.2053473028132517,statement_credit,0.2053473028132517,13.756219358339408,0.19
M00008,transport,gold,Hong Kong,leisure,271.2,0.9709925229085457,statement_credit,298.65889766659103,0.06,0.10226631616348665,0.07932031593367296,2x_points,0.10226631616348665,1.9721549932245095,0.1
M00009,dining,core,Singapore,leisure,5340.75,2101.4581684239765,statement_credit,6442.226108848728,0.15,0.2536007719103412,0.12438818952054118,2x_points,0.2536007719103412,135.8264487096186,0.21999999999999997
M00009,lodging,core,Singapore,leisure,384.19,355.9074047856743,2x_points,419.102138435685,0.1,0.09335450024104945,0.1526079186972999,2x_points,0.09335450024104945,2.382953853713055,0.1
M00009,retail,core,Singapore,leisure,747.64,329.4506852126143,no_offer,845.4557863373909,0.0,0.09129376930971653,0.2789917353890104,statement_credit,0.2789917353890104,13.030245725548767,0.26
M00009,transport,core,Singapore,leisure,155.75,86.35602219860658,no_offer,157.57367957751373,0.0,0.09793112101820872,0.15741911349140458,2x_points,0.09793112101820872,1.0515826518303208,0.1
M00010,dining,core,Hong Kong,business,403.21000000000004,430.62500359298963,statement_credit,458.4869549368859,0.15,0.16313955134851216,0.1512936509790962,2x_points,0.16313955134851216,5.877489819908032,0.16999999999999998
M00010,lodging,core,Hong Kong,leisure,46.07,32.26338742557585,no_offer,45.35997028813345,0.0,0.13563350604590468,0.12216912257002004,2x_points,0.13563350604590468,0.5194862748241793,0.1
M00010,retail,core,Hong Kong,business,543.81,378.75787341165034,no_offer,558.7591433888834,0.0,0.08349464001775114,0.2571703938279949,statement_credit,0.2571703938279949,4.782219824112229,0.26
M00010,transport,core,Hong Kong,leisure,56.88,40.66644078444299,2x_points,66.44693145108336,0.1,0.11392145538119744,0.15875156844127838,2x_points,0.11392145538119744,0.49318228584990126,0.1
M00011,dining,platinum,Singapore,leisure,8097.38,13352.124060259823,statement_credit,9462.883734253955,0.05,0.1809174781154325,0.07292898113453264,2x_points,0.1809174781154325,135.30800827308087,0.27999999999999997
M00011,lodging,platinum,Singapore,leisure,180.28,242.16059145923464,statement_credit,180.38871700121248,0.03,0.11505771704323607,0.09530912781886237,2x_points,0.11505771704323607,1.5877126274265516,0.16
M00011,retail,platinum,Singapore,leisure,1084.81,2820.126224293622,no_offer,1130.4466082970507,0.0,0.13906937057133342,0.20728435083261595,statement_credit,0.20728435083261595,14.983696395207613,0.16
M00011,transport,platinum,Singapore,leisure,1139.83,1636.8709349096964,2x_points,1334.2094576625736,0.16,0.13734731990784582,0.06404350147630918,2x_points,0.13734731990784582,13.087161478067184,0.16
M00012,dining,core,United States,leisure,4559.29,521.4672523286249,2x_points,5429.114213513168,0.21999999999999997,0.23757498044968328,0.11521407797864056,2x_points,0.23757498044968328,107.18433791373238,0.21999999999999997
M00012,lodging,core,United States,leisure,1070.1399999999999,278.52061078544875,statement_credit,1278.2698445174724,0.13,0.09312285889893365,0.10963829725550726,2x_points,0.09312285889893365,6.607839546652583,0.1
M00012,retail,core,United States,leisure,3502.3,717.0280495794041,statement_credit,4699.375005592292,0.26,0.09355742026392168,0.16565972156334965,statement_credit,0.16565972156334965,57.62280513975834,0.26
M00012,transport,core,United States,leisure,538.9,73.07588374450526,no_offer,550.1059791030365,0.0,0.10110811698902453,0.13304888375904608,2x_points,0.10110811698902453,3.843959709446237,0.1
M00014,dining,gold,Singapore,leisure,258.16999999999996,1305.6471974723345,2x_points,336.00947410584774,0.21999999999999997,0.39676284646898013,0.20024890653135075,2x_points,0.39676284646898013,11.001021688747588,0.21999999999999997
M00014,retail,gold,Singapore,leisure,59.77,357.36690582304914,statement_credit,72.4785664308851,0.19,0.15947809863416915,0.19034925221028445,2x_points,0.15947809863416915,0.8449907146437148,0.060000000000000005
M00014,transport,gold,Singapore,leisure,55.69,165.52150909090506,no_offer,59.03827777415046,0.0,0.16010314567280312,0.11765524619164994,2x_points,0.16010314567280312,0.7914873019022085,0.1
M00015,dining,core,Singapore,business,1309.51,146.00485235819923,statement_credit,1525.3978054978181,0.15,0.1972429841541836,0.10213689977311226,2x_points,0.1972429841541836,24.447449221569393,0.16999999999999998
M00015,lodging,core,Singapore,leisure,495.08,143.22760690593392,statement_credit,542.5108697579008,0.13,0.10038086421599228,0.13401052756579276,2x_points,0.10038086421599228,3.488186990726415,0.1
M00015,retail,core,Singapore,business,1010.7,150.06626930717135,statement_credit,1356.7055112528303,0.26,0.09273646945154086,0.220826662056204,statement_credit,0.220826662056204,14.782740880824644,0.26
M00015,transport,core,Singapore,business,311.13,78.17548683218894,no_offer,328.83324661927566,0.0,0.0869075427873012,0.15335467362325675,2x_points,0.0869075427873012,1.6890952544895628,0.05
M00017,dining,core,Japan,leisure,107.89,8.752042936938935,statement_credit,133.17778993634388,0.15,0.17988534017919763,0.12117989741438198,2x_points,0.17988534017919763,1.789489522232036,0.21999999999999997
M00018,dining,gold,Singapore,leisure,21.81,57.98099427464419,no_offer,23.099346349168385,0.0,0.4,0.1816547341837361,2x_points,0.4,0.93783,0.21999999999999997
M00018,lodging,gold,Singapore,leisure,22.41,54.55226540742757,no_offer,20.135422674585197,0.0,0.27374632538570154,0.1765175048913139,2x_points,0.27374632538570154,0.6241086182272286,0.1
M00018,retail,gold,Singapore,leisure,92.96,134.23501679176275,statement_credit,113.48155034425143,0.19,0.31334705918022016,0.39965032072552953,2x_points,0.31334705918022016,3.0306491145671917,0.060000000000000005
M00020,dining,core,Singapore,business,527.21,4.595778436671026,statement_credit,594.9768112607104,0.15,0.21418787887037644,0.1456280057391987,2x_points,0.21418787887037644,10.91458899431014,0.16999999999999998
